INDIA SUB-CONTINENT,KABUL,Afghanistan,20
INDIA SUB-CONTINENT,KANDAHAR,Afghanistan,20
INDIA SUB-CONTINENT,BAGRAM,Afghanistan,20
EUROPE,TIRANA,Albania,12
AFRICA,ALGIERS,Algeria,175
AFRICA,LUANDA,Angola,102
EUROPE,BUENOS AIRES,Argentina,579
RUSSIA,YEREVAN,Armenia,11
AUSTRALASIA,SYDNEY,Australia,1241
AUSTRALASIA,PERTH,Australia,1241
AUSTRALASIA,ADELAIDE,Australia,1241
AUSTRALASIA,MELBOURNE,Australia,1241
AUSTRALASIA,BRISBANE,Australia,1241
EUROPE,VIENNA,Austria,373
RUSSIA,BAKU,Azerbaijan,64
MIDDLE EAST,BAHRAIN,Bahrain,31
INDIA SUB-CONTINENT,DHAKA,Bangladesh,202
INDIA SUB-CONTINENT,CHITTAGONG,Bangladesh,202
EUROPE,BRUSSELS,Belgium,459
EUROPE,SARAJEVO,Bosnia and Herzegovina,16
AFRICA,GABARONE,Botswana,13
AMERICAS,RIO DE JANEIRO,Brazil,1800
AMERICAS,SAO PAULO,Brazil,1800
FAR EAST,BANDAR SERI BEGAWAN,Brunei,12
EUROPE,SOFIA,Bulgaria,47
AFRICA,OUAGADOUGOU,Burkina Faso,11
AFRICA,BUJUMBURA,Burundi,3
AMERICAS,TORONTO - PEARSON,Canada,1573
EUROPE,PRAGUE,Cech Republic,183
FAR EAST,SHANGHAI,China,11385
FAR EAST,HONG KONG,China,11385
FAR EAST,BEIJING,China,11385
FAR EAST,GUANGZHOU,China,11385
FAR EAST,XI AN,China,11385
FAR EAST,URUMQI,China,11385
FAR EAST,MACAU,China,11385
FAR EAST,KUNMING,China,11385
FAR EAST,DALIAN,China,11385
FAR EAST,QINGDAO,China,11385
FAR EAST,CHENGDU,China,11385
FAR EAST,XIAMEN,China,11385
FAR EAST,SHENYANG,China,11385
EUROPE,ZAGREB,Croatia,49
AMERICAS,HAVANA,Cuba,0
EUROPE,LARNACA,Cyprus,19
AFRICA,LUBUMBASHI,Democratic Republic of Congo,39
EUROPE,COPENHAGEN,Denmark,291
AFRICA,DJIBOUTI,DJIBOUTI,2
AFRICA,CAIRO,Egypt,0
AFRICA,BORG AL ARAB,Egypt,0
AFRICA,ALEXANDRIA,Egypt,0
AFRICA,HURGHADA,Egypt,0
AFRICA,ASMARA,Eritrea,4
EUROPE,TALLINN,Estonia,23
